Arapahoe Basin, Ikon, 9,147,5,6,35,106,1428,21,11500,6,0,0 
Aspen Snowmass, Ikon, 40,335,35,20,144,171,5517,20,10700,0,0,0
Beaver Creek, Epic, 23, 109, 10, 28, 40, 41, 1832, 18, 37800, 4, 0, 0
Breckenridge, Epic, 34, 153,11,20,35,98,3867,18,42880, 8,0,0
Copper, Ikon, 24,150,14,32,38,80,2465,18,31700,6,0,0
Crested Butte,Epic,15,155,11,28,44,83,1547,18,20310,0,0,0
Eldora, Ikon, 7,65,12,13,33,19,680,12,13800,7,0,0
Howelsen Hill, None, 4,17,3,3,5,9,50,0,2000,0,0,0
Keystone, Epic, 20,89,16,12,34,43,3000,20, 30200, 6,0,0
Loveland, Loveland Pass, 10,94,6,12,39,43,1800,20,14200,0,0,0
Monarch Mountain, Ikon, 6,64,30,15,17,32,800,14,8900,0,0,0
Purgatory, None, 12,105,12,23,37,45,1650,21,16700,0,0,0
Ski Cooper, None, 5,59,0,10,16,33,470,0,800,0,0,0
Steamboat Springs, Ikon, 18,169,12,24,71,74,2965,11,36600,4,0,0
Telluride, Epic, 17,147,10,24,44,79,1423,21,22300,0,0,0
Vail, Epic, 31, 258, 48, 59, 100, 99, 5289, 18, 55000, 6, 0, 0
Winter Park, Ikon,23,166,0,40,36,90,3081,0,42900,9,0,0
Wolf Creek, None, 10,133,130,26,46,61,1600,51,12400,2,0,0
